# Especificación de tokens para el generador de analizadores léxicos
# Formato: NOMBRE_TOKEN : REGEX


#MAS : \+
#MENOS : -
#MULT : \*
#DIV : /

#Start : ^

# Palabras clave (reservadas)
IF : if
ELSE : else
WHILE : while
FOR : for
RETURN : return
INT : int
FLOAT : float
CHAR : char
VOID : void
BREAK : break
CONTINUE : continue
TRUE : true
FALSE : false

Empieza_con_a : ^a
Termina_con_a : a$

IDENTIFICADOR : [a-zA-Z_][a-zA-Z0-9_]*
ENTERO : [0-9]+

################ Mis pruebas ############

#Letra_a : aa

#Emp_ter : ^ab$

#test : a(ab)c
